SAMPLE_ID	GRP	SAMPLE_POINT
YOY1_T3-093	YOY-1	T3
YOY1_T3-094	YOY-1	T3
YOY1_T3-095	YOY-1	T3
YOY1_T3-096	YOY-1	T3
YOY1_T3-097	YOY-1	T3
YOY1_T1-102	YOY-1	T1
YOY1_T1-103	YOY-1	T1
YOY1_T1-104	YOY-1	T1
YOY1_T1-105	YOY-1	T1
YOY1_T1-106	YOY-1	T1
YOY1_T1-107	YOY-1	T1
YOY1_T1-108	YOY-1	T1
YOY1_T1-109	YOY-1	T1
YOY1_T1-110	YOY-1	T1
YOY1_T1-111	YOY-1	T1
YOY1_T1-112	YOY-1	T1
YOY1_T1-113	YOY-1	T1
YOY1_T1-114	YOY-1	T1
YOY1_T1-115	YOY-1	T1
YOY1_T1-116	YOY-1	T1
YOY1_T1-117	YOY-1	T1
YOY1_T1-118	YOY-1	T1
YOY1_T1-119	YOY-1	T1
YOY1_T1-120	YOY-1	T1
YOY1_T1-121	YOY-1	T1
YOY1_T1-122	YOY-1	T1
YOY1_T1-123	YOY-1	T1
YOY1_T1-124	YOY-1	T1
YOY1_T1-125	YOY-1	T1
YOY1_T1-126	YOY-1	T1
YOY1_T1-127	YOY-1	T1
YOY1_T1-128	YOY-1	T1
YOY1_T2-094	YOY-1	T2
YOY1_T2-095	YOY-1	T2
YOY1_T2-096	YOY-1	T2
YOY1_T2-097	YOY-1	T2
YOY1_T2-098	YOY-1	T2
YOY1_T2-099	YOY-1	T2
YOY1_T2-100	YOY-1	T2
YOY1_T2-101	YOY-1	T2
YOY1_T2-102	YOY-1	T2
YOY1_T2-103	YOY-1	T2
YOY1_T2-104	YOY-1	T2
YOY1_T2-105	YOY-1	T2
YOY1_T2-106	YOY-1	T2
YOY1_T2-107	YOY-1	T2
YOY1_T2-108	YOY-1	T2
ADULT_7930	ADULT	NA
YOY1_T2-109	YOY-1	T2
YOY1_T3-098	YOY-1	T3
YOY1_T3-099	YOY-1	T3
YOY1_T3-100	YOY-1	T3
YOY1_T3-101	YOY-1	T3
YOY1_T3-102	YOY-1	T3
YOY1_T3-103	YOY-1	T3
YOY1_T3-104	YOY-1	T3
YOY1_T3-105	YOY-1	T3
YOY1_T3-106	YOY-1	T3
YOY1_T3-107	YOY-1	T3
YOY1_T3-108	YOY-1	T3
YOY1_T3-109	YOY-1	T3
YOY1_T3-110	YOY-1	T3
YOY1_T3-111	YOY-1	T3
YOY1_T3-112	YOY-1	T3
YOY1_T3-113	YOY-1	T3
YOY1_T3-114	YOY-1	T3
YOY1_T3-115	YOY-1	T3
YOY1_T3-116	YOY-1	T3
YOY1_T3-117	YOY-1	T3
YOY1_T3-118	YOY-1	T3
YOY1_T3-119	YOY-1	T3
YOY1_T3-120	YOY-1	T3
YOY1_T3-121	YOY-1	T3
YOY1_T3-122	YOY-1	T3
YOY1_T3-123	YOY-1	T3
YOY1_T3-124	YOY-1	T3
YOY1_T3-125	YOY-1	T3
YOY1_T3-126	YOY-1	T3
YOY1_T3-127	YOY-1	T3
YOY1_T3-128	YOY-1	T3
YOY1_T3-129	YOY-1	T3
YOY1_T3-130	YOY-1	T3
YOY1_T3-131	YOY-1	T3
YOY1_T3-132	YOY-1	T3
YOY1_T3-133	YOY-1	T3
YOY1_T3-134	YOY-1	T3
ADULT_777	ADULT	NA
ADULT_4134	ADULT	NA
ADULT_4136	ADULT	NA
YOY-2_T1-081	YOY-2	T1
YOY-2_T1-082	YOY-2	T1
YOY-2_T1-083	YOY-2	T1
YOY-2_T1-084	YOY-2	T1
YOY-2_T1-057	YOY-2	T1
YOY-2_T1-058	YOY-2	T1
YOY-2_T1-059	YOY-2	T1
YOY-2_T1-060	YOY-2	T1
YOY-2_T1-061	YOY-2	T1
YOY-2_T1-062	YOY-2	T1
YOY-2_T1-063	YOY-2	T1
YOY-2_T1-064	YOY-2	T1
YOY-2_T1-065	YOY-2	T1
YOY-2_T1-066	YOY-2	T1
YOY-2_T1-067	YOY-2	T1
YOY-2_T1-068	YOY-2	T1
YOY-2_T1-069	YOY-2	T1
YOY-2_T1-070	YOY-2	T1
YOY-2_T1-071	YOY-2	T1
YOY-2_T1-072	YOY-2	T1
YOY-2_T1-073	YOY-2	T1
YOY-2_T1-074	YOY-2	T1
YOY-2_T1-075	YOY-2	T1
YOY-2_T1-076	YOY-2	T1
YOY-2_T1-077	YOY-2	T1
YOY-2_T1-078	YOY-2	T1
YOY-2_T1-079	YOY-2	T1
YOY-2_T1-080	YOY-2	T1
YOY-2_T3-025	YOY-2	T3
YOY-2_T3-026	YOY-2	T3
YOY-2_T3-027	YOY-2	T3
YOY-2_T3-028	YOY-2	T3
YOY-2_T3-029	YOY-2	T3
YOY-2_T3-030	YOY-2	T3
YOY-2_T3-031	YOY-2	T3
YOY-2_T3-032	YOY-2	T3
YOY-2_T3-033	YOY-2	T3
YOY-2_T3-034	YOY-2	T3
YOY-2_T3-035	YOY-2	T3
YOY-2_T3-036	YOY-2	T3
YOY-2_T3-045	YOY-2	T3
YOY-2_T3-046	YOY-2	T3
YOY-2_T3-047	YOY-2	T3
YOY-2_T3-048	YOY-2	T3
YOY-2_T3-049	YOY-2	T3
YOY-2_T3-050	YOY-2	T3
YOY-2_T3-051	YOY-2	T3
YOY-2_T3-052	YOY-2	T3
YOY-2_T3-053	YOY-2	T3
YOY-2_T3-054	YOY-2	T3
YOY-2_T3-055	YOY-2	T3
YOY-2_T3-056	YOY-2	T3
YOY-2_T1-085	YOY-2	T1
YOY-2_T1-086	YOY-2	T1
YOY-2_T1-087	YOY-2	T1
YOY-2_T1-088	YOY-2	T1
YOY-2_T1-113	YOY-2	T1
YOY-2_T1-114	YOY-2	T1
YOY-2_T1-115	YOY-2	T1
YOY-2_T1-116	YOY-2	T1
YOY-2_T1-119	YOY-2	T1
YOY-2_T1-120	YOY-2	T1
YOY-2_T1-121	YOY-2	T1
YOY-2_T1-122	YOY-2	T1
YOY-2_T1-123	YOY-2	T1
YOY-2_T1-124	YOY-2	T1
YOY-2_T3-057	YOY-2	T3
YOY-2_T3-059	YOY-2	T3
YOY-2_T3-060	YOY-2	T3
YOY-2_T3-061	YOY-2	T3
YOY-2_T3-062	YOY-2	T3
YOY-2_T3-063	YOY-2	T3
YOY-2_T3-064	YOY-2	T3
YOY-2_T3-065	YOY-2	T3
YOY-2_T3-066	YOY-2	T3
YOY-2_T3-067	YOY-2	T3
YOY-2_T3-068	YOY-2	T3
YOY-2_T2-037	YOY-2	T2
YOY-2_T2-038	YOY-2	T2
YOY-2_T2-039	YOY-2	T2
YOY-2_T2-040	YOY-2	T2
YOY-2_T2-041	YOY-2	T2
YOY-2_T2-042	YOY-2	T2
YOY-2_T2-043	YOY-2	T2
YOY-2_T2-044	YOY-2	T2
YOY-2_T2-046	YOY-2	T2
YOY-2_T2-047	YOY-2	T2
YOY-2_T3-069	YOY-2	T3
YOY-2_T3-070	YOY-2	T3
YOY-2_T3-071	YOY-2	T3
YOY-2_T3-072	YOY-2	T3
YOY-2_T3-073	YOY-2	T3
YOY-2_T3-074	YOY-2	T3
YOY-2_T3-075	YOY-2	T3
YOY-2_T3-076	YOY-2	T3
YOY-2_T3-077	YOY-2	T3
YOY-2_T3-078	YOY-2	T3
YOY-2_T3-079	YOY-2	T3
YOY-2_T3-080	YOY-2	T3
YOY-2_T3-041	YOY-2	T3
YOY-2_T3-043	YOY-2	T3
YOY-2_T3-044	YOY-2	T3
YOY-2_T3-125	YOY-2	T3
YOY-2_T3-126	YOY-2	T3
YOY-2_T3-127	YOY-2	T3
YOY-2_T3-128	YOY-2	T3
YOY-2_T3-129	YOY-2	T3
YOY-2_T3-130	YOY-2	T3
YOY-2_T3-131	YOY-2	T3
YOY-2_T3-132	YOY-2	T3
YOY-2_T3-133	YOY-2	T3
YOY-2_T3-134	YOY-2	T3
YOY-2_T3-135	YOY-2	T3
YOY-2_T3-136	YOY-2	T3
YOY-2_T2-062	YOY-2	T2
YOY-2_T2-064	YOY-2	T2
YOY-2_T2-065	YOY-2	T2
YOY-2_T2-072	YOY-2	T2
YOY-2_T1-107	YOY-2	T1
YOY-2_T1-108	YOY-2	T1
YOY-2_T1-109	YOY-2	T1
YOY-2_T1-110	YOY-2	T1
YOY-2_T1-111	YOY-2	T1
YOY-2_T1-112	YOY-2	T1
YOY-2_T3-081	YOY-2	T3
YOY-2_T3-082	YOY-2	T3
YOY-2_T3-084	YOY-2	T3
YOY-2_T3-085	YOY-2	T3
YOY-2_T3-086	YOY-2	T3
YOY-2_T3-088	YOY-2	T3
YOY-2_T3-097	YOY-2	T3
YOY-2_T3-100	YOY-2	T3
YOY-2_T3-037	YOY-2	T3
YOY-2_T3-038	YOY-2	T3
YOY-2_T3-039	YOY-2	T3
YOY-2_T3-040	YOY-2	T3
YOY-2_T2-049	YOY-2	T2
YOY-2_T2-050	YOY-2	T2
YOY-2_T2-051	YOY-2	T2
YOY-2_T2-052	YOY-2	T2
YOY-2_T2-053	YOY-2	T2
YOY-2_T2-054	YOY-2	T2
YOY-2_T2-055	YOY-2	T2
YOY-2_T2-056	YOY-2	T2
YOY-2_T2-057	YOY-2	T2
YOY-2_T2-058	YOY-2	T2
YOY-2_T2-059	YOY-2	T2
YOY-2_T2-060	YOY-2	T2
YOY-2_T3-101	YOY-2	T3
YOY-2_T3-102	YOY-2	T3
YOY-2_T3-104	YOY-2	T3
YOY-2_T3-105	YOY-2	T3
YOY-2_T3-106	YOY-2	T3
YOY-2_T3-109	YOY-2	T3
YOY-2_T3-111	YOY-2	T3
YOY-2_T3-112	YOY-2	T3
YOY-2_T3-113	YOY-2	T3
YOY-2_T3-114	YOY-2	T3
YOY-2_T3-115	YOY-2	T3
YOY-2_T3-117	YOY-2	T3
YOY-2_T3-118	YOY-2	T3
YOY-2_T3-120	YOY-2	T3
YOY-2_T3-121	YOY-2	T3
YOY-2_T3-122	YOY-2	T3
YOY-2_T3-123	YOY-2	T3
YOY-2_T3-124	YOY-2	T3
ADULT_8311	ADULT	NA
YOY-2_T2-085	YOY-2	T2
YOY-2_T2-086	YOY-2	T2
YOY-2_T2-087	YOY-2	T2
YOY-2_T2-088	YOY-2	T2
YOY-2_T2-089	YOY-2	T2
YOY-2_T2-090	YOY-2	T2
YOY-2_T2-091	YOY-2	T2
YOY-2_T2-092	YOY-2	T2
YOY-2_T2-093	YOY-2	T2
YOY-2_T2-094	YOY-2	T2
YOY-2_T2-095	YOY-2	T2
YOY-2_T2-096	YOY-2	T2
YOY-2_T2-109	YOY-2	T2
YOY-2_T2-110	YOY-2	T2
YOY-2_T2-111	YOY-2	T2
YOY-2_T2-112	YOY-2	T2
YOY-2_T2-113	YOY-2	T2
YOY-2_T2-114	YOY-2	T2
YOY-2_T2-115	YOY-2	T2
YOY-2_T2-116	YOY-2	T2
YOY-2_T2-117	YOY-2	T2
YOY-2_T2-118	YOY-2	T2
YOY-2_T2-119	YOY-2	T2
YOY-2_T2-120	YOY-2	T2
YOY-3_T1-013	YOY-3	T1
YOY-3_T1-014	YOY-3	T1
YOY-3_T1-015	YOY-3	T1
YOY-3_T1-017	YOY-3	T1
YOY-3_T1-020	YOY-3	T1
YOY-3_T1-022	YOY-3	T1
YOY-3_T1-023	YOY-3	T1
YOY-3_T1-024	YOY-3	T1
YOY-2_T1-100	YOY-2	T1
YOY-2_T1-103	YOY-2	T1
YOY-2_T1-104	YOY-2	T1
YOY-2_T1-106	YOY-2	T1
YOY-2_T1-107	YOY-2	T1
YOY-2_T3-004	YOY-2	T3
YOY-2_T3-005	YOY-2	T3
YOY-2_T3-006	YOY-2	T3
YOY-2_T3-007	YOY-2	T3
YOY-2_T3-008	YOY-2	T3
YOY-2_T3-009	YOY-2	T3
YOY-2_T3-010	YOY-2	T3
YOY-2_T3-011	YOY-2	T3
YOY-2_T3-012	YOY-2	T3
YOY-3_T1-026	YOY-3	T1
YOY-3_T1-028	YOY-3	T1
YOY-3_T1-029	YOY-3	T1
YOY-3_T1-031	YOY-3	T1
YOY-3_T1-033	YOY-3	T1
YOY-3_T1-035	YOY-3	T1
YOY-3_T1-036	YOY-3	T1
YOY-2_T2-001	YOY-2	T2
YOY-2_T2-002	YOY-2	T2
YOY-2_T2-003	YOY-2	T2
YOY-2_T2-004	YOY-2	T2
YOY-2_T2-005	YOY-2	T2
YOY-2_T2-006	YOY-2	T2
YOY-2_T2-007	YOY-2	T2
YOY-2_T2-008	YOY-2	T2
YOY-2_T2-009	YOY-2	T2
YOY-2_T2-010	YOY-2	T2
YOY-2_T2-011	YOY-2	T2
YOY-2_T2-012	YOY-2	T2
YOY-2_T3-013	YOY-2	T3
YOY-2_T3-014	YOY-2	T3
YOY-2_T3-015	YOY-2	T3
YOY-2_T3-016	YOY-2	T3
YOY-2_T3-017	YOY-2	T3
YOY-2_T3-019	YOY-2	T3
YOY-2_T3-020	YOY-2	T3
YOY-2_T3-023	YOY-2	T3
YOY-2_T3-024	YOY-2	T3
YOY-2_T2-013	YOY-2	T2
YOY-2_T2-014	YOY-2	T2
YOY-2_T2-015	YOY-2	T2
YOY-2_T2-016	YOY-2	T2
YOY-2_T2-017	YOY-2	T2
YOY-2_T2-018	YOY-2	T2
YOY-2_T2-019	YOY-2	T2
YOY-2_T2-020	YOY-2	T2
YOY-2_T2-021	YOY-2	T2
YOY-2_T2-022	YOY-2	T2
YOY-2_T2-023	YOY-2	T2
YOY-2_T2-024	YOY-2	T2
YOY-3_T1-039	YOY-3	T1
YOY-3_T1-040	YOY-3	T1
YOY-3_T1-041	YOY-3	T1
